Issue Number,Alarm Severity,Status,Event Title,Airtel Site ID,ISM,ATC ID,Cluster,Regional Manager,Alarm Start Time,Alarm Cleared Time,DURATION,MTTR,MTTR RANGE,Root Cause,Specific Cause,Underlying Cause,Closing Details,Site Issue Type,ATC CLASS,AIRTEL CLASS,AIRTEL REGION,key
28393742,Closed,Major,SITE DOWN AT KN0812,KN0812,I-ENG,627074,Kano 2,Usman Shaibu,03/07/2024 14:47,03/07/2024 15:07,20.000000002328303,0.3333333333721384,<2hrs,Power,DG Fault,DG Coolant low,"DG HIGH TEMP. DUE TO LOW WATER LEVEL, WATER WAS TOPPED, DL 896 RH 9407",Incident,Silver,Silver,NORTH EAST,28393742_2024-07-03 14:47:00
28393046,Closed,Major,SITE DOWN AT AB0059,AB0059,I-ENG,400043,CBD,Uche Obasi,03/07/2024 13:28,03/07/2024 13:36,7.999999994644895,0.1333333332440816,<2hrs,Power,DG Fault,Generator Power Alarm,"SYNCHRONIZATION FAILURE FROM GRID TO HYBRID  DUE TO LOW PHCN VOLTAGE, DG WAS POWERED MANUALLY DL=423L DGRH=1443",Incident,Platinum,Platinum,NORTH WEST,28393046_2024-07-03 13:28:00
28392998,Closed,Major,SITE DOWN AT SK0414,SK0414,I-ENG,409312,Jega,John  Adejo,03/07/2024 13:27,03/07/2024 14:27,59.99999999650754,0.9999999999417925,<2hrs,Power,DG Fault,Fuel System Fault,"BLOCKED FUEL LINE WAS CLEARED AND DG POWERED, DL : 312 ; RH 12168",Incident,Platinum COLO,Silver,NORTH WEST,28392998_2024-07-03 13:27:00
28392909,Closed,Major,SITE DOWN AT KN0599 + 1,KN0599,I-ENG,405679,Kano 2,Usman Shaibu,03/07/2024 12:57,03/07/2024 14:49,111.9999999983702,1.866666666639503,<2hrs,Power,DG Fault,Faulty Priming Pump,FAULTY INJECTOR PUMP WAS WORKED ON DL 524 RH 15519,Incident,Platinum COLO,Silver,NORTH EAST,28392909_2024-07-03 12:57:00
28391154,Closed,Major,SITE DOWN AT KN1906 MTN,KN0735,I-ENG,408188,Janguza,Usman Shaibu,03/07/2024 12:39,03/07/2024 13:50,71.00000000093132,1.1833333333488554,<2hrs,Power,DC Power,AC Breaker Fault|Low Capacity Circuit Breaker,TRIPPED LOAD BREAKER WAS ENABLED DL 521 RH 12447,Incident,Platinum COLO,Silver,NORTH EAST,28391154_2024-07-03 12:39:00
28391565,Closed,Major,SITE DOWN AT KD0038,KD0038,I-ENG,402147,Kaduna Town,Emmanuel Okolo,03/07/2024 12:27,03/07/2024 14:10,103.00000000046566,1.7166666666744277,<2hrs,Power,DG Fault,Faulty DG Starter Relay,"FAULTY DG BATTERY , EXTERNAL BATTERY WAS USED TO POWER DG, DL : 513 ; RH 3572",Incident,Platinum COLO,Silver,NORTH WEST,28391565_2024-07-03 12:27:00
28392015,Closed,Major,SITE DOWN AT KD0854,KD0854,I-ENG,627026,Zaria 1,Emmanuel Okolo,03/07/2024 12:22,03/07/2024 14:10,108.00000000628644,1.8000000001047738,<2hrs,Power,DG Fault,Faulty Control Panel,DG MODULE FAULT DURING LIB INSTALLATION WAS WORKED ON DL : 143 ; RH 2925,Incident,Silver,Silver,NORTH WEST,28392015_2024-07-03 12:22:00
28391067,Closed,Major,SITE DOWN AT KD0079,KD0079,I-ENG,402197,Zaria 1,Emmanuel Okolo,03/07/2024 11:17,03/07/2024 13:06,108.99999999906868,1.8166666666511448,<2hrs,Power,DG Fault,Faulty Priming Pump,"FAULTY INJECTOR PUMP WAS WORKED ON, DL : 1913 ; RH 4513",Incident,Platinum COLO,Platinum,NORTH WEST,28391067_2024-07-03 11:17:00
28390183,Closed,Major,SITE DOWN AT KB0366,KB0366,I-ENG,405687,Kebbi Metro,John  Adejo,03/07/2024 11:02,03/07/2024 12:47,104.99999999650754,1.7499999999417923,<2hrs,Power,DG Fault,Faulty Charging Alternator,FAULTY MAIN ALTERNATOR WAS WORKED ON DL - 1715 RH 19532,Incident,Silver,Silver,NORTH WEST,28390183_2024-07-03 11:02:00
28389354,Closed,Major,SITE DOWN AT SK0370,SK0370,I-ENG,406321,Sokoto Metro,John  Adejo,03/07/2024 10:54,03/07/2024 11:04,9.999999990686774,0.1666666665114462,<2hrs,Power,DG Fault,Generator Power Alarm,"HYBRID  SYNC FAILURE DUE TO DG FAIL TO START ALARM, IT WAS CLEARED AND DG POWERED. DL 2165 ; RH 2276",Incident,Platinum COLO,Silver,NORTH WEST,28389354_2024-07-03 10:54:00
28389173,Closed,Major,SITE DOWN AT KN0049,KN0049,I-ENG,402447,Hotoro,Usman Shaibu,03/07/2024 10:50,03/07/2024 11:16,26.000000000931323,0.4333333333488554,<2hrs,Power,DG Fault,DG Coolant low,"DG HIGH DUE TO LOW WATER IN THE RADIATOR, WATER WAS TOPPED DL 1359 RH 6122",Incident,Platinum COLO,Gold,NORTH EAST,28389173_2024-07-03 10:50:00
